language,model,Static,Static_ranking,Dynamic,Dynamic_ranking
de,gpt-4o-2024-08-06,0.443,1,0.447,1
de,Llama-3.3-70B-Instruct,0.372,2,0.392,4
de,Qwen2.5-72B-Instruct,0.357,3,0.410,2
de,gpt-4o-mini,0.350,4,0.394,3
de,Mixtral-8x7B-Instruct-v0.1,0.350,5,0.387,5
de,gpt-3.5-turbo,0.338,6,0.381,6
de,Qwen2.5-7B-Instruct,0.319,7,0.373,7
de,Mistral-7B-Instruct-v0.3,0.288,8,0.360,9
de,Qwen2.5-0.5B-Instruct,0.284,9,0.344,10
de,Llama-3.2-3B-Instruct,0.281,10,0.367,8
de,Llama-3.2-1B-Instruct,0.274,11,0.343,11
