label,dataset,kappa,krippen
conv,dagstuhl,0.5344029442977511,0.5395930233924082
conv,defabel,0.6051225120701847,0.6070050807874425
conv,deuparl,0.3711038920436341,0.36424272896664356
conv,hansard,0.3706812149635382,0.3694939671815421
conv,hansard_bill,0.4606268953928171,0.46317549337749464
emo,dagstuhl,0.5030746393425056,0.5060868645360703
emo,defabel,0.7271309450028751,0.7294966198497358
emo,deuparl,0.3578706323256232,0.35180318204393013
emo,hansard,0.3599148986549957,0.36080909236355996
emo,hansard_bill,0.44748376098063875,0.4485793902903684
